furniture	0
located in the living room	1
used for relaxation	2
soft	3
soft	4
soft	0
soft	5
soft	6
soft	7
soft	8
soft	9
comfortable	4
made of fabric	6
furniture	0
used for relaxation	2
comfortable	4
furniture	0
used for relaxation	2
used for cleaning	2
citrusy	10
yellow	11
yellow	12
sour	13
sour	14
sour	10
citrus	10
sweet	13
sweet	14
sweet	10
tangy	14
round	8
round	15
round	0
used for cleaning	2
sour	13
sour	14
sour	10
salty	14
pungent	10
used for cooking	2
used for cleaning	2
used for writing	2
cylindrical	15
made of plastic	6
found in a classroom	1
made of wood	6
made of metal	6
used for writing	2
made of plastic	6
found in a library	1
used for writing	2
made of fabric	6
sports equipment	0
made of fabric	6
located in the bedroom	1
made of glass	6
shiny	8
shiny	6
made of plastic	6
used for cleaning	2
used for transportation	2
used for transportation	16
red	11
red	12
made of metal	6
made of wood	6
used for transportation	2
used for transportation	16
used for transportation	2
used for transportation	16
made of metal	6
green	11
green	12
fresh	10
soft	3
soft	4
soft	0
soft	5
soft	6
soft	7
soft	8
soft	9
green	11
green	12
found in a forest	1
used for gardening	2
green	11
green	12
made of wood	6
found in a park	1
feline	17
feline	17
found in a zoo	1
fragrant	10
floral	10
floral	18
red	11
red	12
calming	4
pink	12
yellow	11
yellow	12
prickly	8
prickly	4
prickly	7
beautiful	8
beautiful	19
yellow	11
yellow	12
white	12
beautiful	8
beautiful	19
yellow	11
yellow	12
round	8
round	15
round	0
beautiful	8
beautiful	19
used for cooking	2
yellow	11
yellow	12
used for cooking	2
red	11
red	12
orange	12
spicy	13
spicy	14
spicy	10
small	20
round	8
round	15
round	0
hot	4
hot	21
hot	22
hot	23
hot	24
tangy	14
used for cooking	2
used for cooking	2
orange	12
yellow	11
yellow	12
sweet	13
sweet	14
sweet	10
savory	14
savory	13
green	11
green	12
used for cooking	2
savory	14
savory	13
aromatic	10
used for cooking	2
aromatic	10
green	11
green	12
fresh	10
used for cooking	2
made of metal	6
made of metal	6
made of metal	6
musical	9
made of wood	6
musical	9
used for transportation	2
used for transportation	16
used for exercise	2
used for transportation	2
used for transportation	16
used for transportation	2
used for transportation	16
sports equipment	0
used for eating	2
made of metal	6
used for cooking	2
used for eating	2
used for cooking	2
made of metal	6
made of plastic	6
shiny	8
shiny	6
used for eating	2
used for cutting	2
used for cooking	2
sharp	25
sharp	7
made of metal	6
furniture	0
located in the bedroom	1
used for relaxation	2
